"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Timor-Leste","TLS","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","1500","","","","","","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tonga","TON","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Asia (IDA & IBRD)","TSA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Trinidad and Tobago","TTO","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","2200","","","","","","",
"Tunisia","TUN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","207","","","","","207","","","","","207","","","","","207","","","","","207","","","","","207","","","","","207","","","","","207","","","","","207","","","","","207","","","","","207","","207","","","","","","",
"Turkey","TUR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","593","","","","","593","","","","","593","","","","","593","","","","","593","","","","","593","","","","","593","","","","","593","","","","","593","","","","","593","","","","","593","","593","","","","","","",
"Tuvalu","TUV","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161","","","","","161","","","","","161","","","","","161","","","","","161","","","","","","","","",
"Tanzania","TZA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1071","","","","","1071","","","","","1071","","","","","1071","","","","","1071","","","","","1071","","","","","1071","","","","","1071","","","","","1071","","","","","1071","","","","","1071","","1071","","","","","","",
"Uganda","UGA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1180","","","","","1180","","","","","1180","","","","","1180","","","","","1180","","","","","1180","","","","","1180","","","","","1180","","","","","1180","","","","","1180","","","","","1180","","1180","","","","","","",
"Ukraine","UKR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","565","","","","","565","","","","","565","","","","","565","","","","","565","","565","","","","","","",
"Upper middle income","UMC","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Uruguay","URY","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1300","","","","","1300","","","","","1300","","","","","1300","","","","","1300","","","","","1300","","","","","1300","","","","","1300","","","","","1300","","","","","1300","","","","","1300","","1300","","","","","","",
"United States","USA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","715","","","","","715","","","","","715","","","","","715","","","","","715","","","","","715","","","","","715","","","","","715","","","","","715","","","","","715","","","","","715","","715","","","","","","",
"Uzbekistan","UZB","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206","","","","","206","","","","","206","","","","","206","","","","","206","","206","","","","","","",
"St. Vincent and the Grenadines","VCT","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","1583","","","","","","",
"Venezuela, RB","VEN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2044","","","","","2044","","","","","2044","","","","","2044","","","","","2044","","","","","2044","","","","","2044","","","","","2044","","","","","2044","","","","","2044","","","","","2044","","2044","","","","","","",
"British Virgin Islands","VGB","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1821","","","","","1821","","","","","1821","","","","","1821","","","","","1821","","","","","1821","","","","","1821","","","","","1821","","","","","1821","","","","","1821","","","","","1821","","1821","","","","","","",
"Vanuatu","VUT","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206","","","","","206","","","","","206","","","","","206","","","","","206","","","","","","","","",
"World","WLD","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Samoa","WSM","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","","","","",
"Kosovo","XKX","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","167","","","","","167","","","","","167","","","","","167","","","","","167","","","","","167","","","","","167","","","","","167","","","","","167","","","","","167","","","","","167","","167","","","","","","",
"South Africa","ZAF","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","495","","","","","495","","","","","495","","","","","495","","","","","495","","","","","495","","","","","495","","","","","495","","","","","495","","","","","495","","","","","495","","495","","","","","","",
"Zambia","ZMB","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1020","","","","","1020","","","","","1020","","","","","1020","","","","","1020","","","","","1020","","","","","1020","","","","","1020","","","","","1020","","","","","1020","","","","","1020","","1020","","","","","","",
"Zimbabwe","ZWE","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","657","","","","","657","","","","","657","","","","","657","","","","","657","","","","","657","","","","","657","","","","","657","","","","","657","","","","","657","","","","","657","","657","","","","","","",
